key,population,race_total,black_total,race_hispanic_total,white_alone,hispanic_total,percent_bachelors,median_income,percent_black,percent_white,percent_hispanic
01001,58761,58761,11496,58761,42635,1864,0.29600000000000004,68315,0.19563996528309593,0.7255662769524004,0.03172172018856044
01003,233420,233420,19445,233420,192161,11210,0.326,71039,0.08330477251306657,0.8232413674920743,0.04802501927855368
01005,24877,24877,11668,24877,11084,1202,0.11900000000000001,39712,0.4690276158700808,0.4455521164127507,0.04831772319813482
01007,22251,22251,4603,22251,16520,650,0.109,50669,0.2068671070963103,0.7424385420879961,0.029212170239539797
01009,59077,59077,729,59077,50614,5721,0.147,57440,0.012339827682516038,0.8567462802782809,0.09683971765661764
01011,10328,10328,7117,10328,2125,907,0.094,36136,0.6890975987606507,0.20575135553834237,0.08781951975213013
01013,18981,18981,8462,18981,9655,322,0.13,44429,0.4458142352879195,0.5086665612981403,0.01696433275380644
01015,116162,116162,25631,116162,81851,4736,0.192,54339,0.22064874916065494,0.7046280194900225,0.04077064788829393
01017,34612,34612,14114,34612,18794,1129,0.127,48805,0.40777764937016064,0.5429908702184214,0.032618744943950076
01019,25069,25069,1008,25069,22749,479,0.146,46621,0.04020902309625434,0.9074554230324305,0.019107263951493876
01021,45140,45140,4257,45140,35714,3664,0.14,62471,0.09430660168365086,0.7911829862649534,0.08116969428444838
01023,12669,12669,5062,12669,7162,143,0.13,43299,0.3995579761622859,0.5653169153050753,0.01128739442734233
01025,23058,23058,10490,23058,11809,335,0.138,47549,0.4549397172347992,0.5121432908318154,0.014528580102350594
01027,14209,14209,1790,14209,11385,437,0.128,48074,0.12597649377155323,0.8012527271447674,0.030755155183334507
01029,15144,15144,411,15144,13964,401,0.165,51553,0.02713946117274168,0.9220813523507659,0.026479133650290546
01031,53559,53559,8997,53559,36875,4500,0.21600000000000003,62199,0.16798297204951548,0.6884930637241173,0.08401949252226516
01033,57270,57270,9185,57270,44485,1837,0.18,56149,0.1603806530469705,0.7767592107560678,0.0320761306093941
01035,11576,11576,5611,11576,5751,80,0.133,39888,0.48470974429854874,0.49680373185901866,0.006910850034554251
01037,10329,10329,3120,10329,6632,284,0.106,52279,0.3020621550972989,0.6420757091683609,0.02749540129731823
01039,37542,37542,4606,37542,30958,749,0.163,48772,0.1226892547014011,0.8246230888072026,0.019950988226519632
01041,13205,13205,3059,13205,9226,335,0.172,48557,0.2316546762589928,0.6986747444149943,0.025369178341537298
01043,88284,88284,960,88284,80170,4056,0.183,58119,0.010873997553350551,0.9080920665126184,0.04594263966290608
01045,49455,49455,10416,49455,33286,3467,0.192,52813,0.21061571125265394,0.673056313820645,0.07010413507228794
01047,38326,38326,26467,38326,10365,430,0.157,37180,0.6905755883734279,0.27044304127746177,0.011219537650681
01049,71680,71680,1043,71680,56705,11021,0.141,47920,0.01455078125,0.7910853794642857,0.15375279017857144
01051,87694,87694,18276,87694,63533,2739,0.242,73258,0.2084065044358793,0.7244851415148129,0.031233607772481582
01053,36755,36755,11138,36755,22117,940,0.126,41153,0.30303360087062986,0.6017412596925589,0.025574751734457897
01055,103348,103348,15724,103348,79648,4561,0.177,52177,0.15214614699849055,0.7706777102604792,0.04413244571738205
01057,16297,16297,2074,16297,13666,61,0.13,45650,0.12726268638399704,0.838559244032644,0.003743020187764619
01059,32011,32011,1360,32011,24088,5892,0.14800000000000002,47359,0.04248539564524695,0.7524913311049327,0.18406172878073163
01061,26647,26647,2472,26647,21535,1185,0.139,47608,0.09276841670732165,0.8081585169062183,0.04447029684392239
01063,7706,7706,6305,7706,1321,24,0.16699999999999998,32796,0.818193615364651,0.1714248637425383,0.003114456267843239
01065,14742,14742,8373,14742,5663,25,0.16399999999999998,35851,0.567969067969068,0.3841405508072175,0.0016958350291683625
01067,17282,17282,4375,17282,12012,469,0.21,58395,0.2531535701886356,0.6950584423099179,0.027138062724221732
01069,107040,107040,29166,107040,69420,3844,0.225,55064,0.2724775784753363,0.648542600896861,0.0359118086696562
01071,52618,52618,1731,52618,46699,1685,0.162,46748,0.03289748755178836,0.8875099775742141,0.032023262001596414
01073,672265,672265,287203,672265,328951,27950,0.35600000000000004,63595,0.4272169456984969,0.4893174566577168,0.04157586665972496
01075,13885,13885,1527,13885,11900,76,0.102,49565,0.10997479294202377,0.8570399711919338,0.005473532589124955
01077,94329,94329,9317,94329,78667,2803,0.258,56081,0.09877132165081788,0.8339641043581507,0.029715145925431202
01079,33116,33116,3371,33116,25273,829,0.158,54786,0.10179369489068728,0.7631658412851794,0.025033216572049766
01081,175126,175126,39363,175126,117221,6780,0.402,59288,0.2247695944634149,0.6693523520208308,0.03871498235556114
01083,104199,104199,13714,104199,77842,6588,0.295,80146,0.1316135471549631,0.7470513152717396,0.06322517490570927
01085,10153,10153,7603,10153,2493,19,0.163,33125,0.7488427065891855,0.24554318920516105,0.0018713680685511671
01087,19198,19198,15142,19198,3098,453,0.20600000000000002,41206,0.7887279924992187,0.16137097614334828,0.02359620793832691
01089,389781,389781,95400,389781,247345,20611,0.451,78058,0.24475282273892263,0.6345742865865704,0.05287841121039764
01091,19180,19180,9750,19180,8539,542,0.22,42975,0.5083420229405631,0.44520333680917623,0.028258602711157457
01093,29203,29203,1113,29203,26508,790,0.11800000000000001,49743,0.038112522686025406,0.9077149607916994,0.027052015203917406
01095,97923,97923,2746,97923,77450,14751,0.214,58272,0.02804244151016615,0.7909275655361866,0.1506387671946325
01097,413878,413878,150071,413878,231005,12565,0.242,55352,0.3625971904764206,0.5581475700568767,0.030359187973267483
01099,19816,19816,8384,19816,10632,44,0.135,39965,0.42309245054501415,0.5365361324182479,0.0022204279370205892
01101,228132,228132,134763,228132,72150,8597,0.337,56707,0.5907237914891379,0.31626426805533636,0.037684323111181244
01103,123102,123102,16631,123102,91445,10845,0.23800000000000002,61588,0.13509934850774155,0.7428392714984322,0.08809767509869865
01105,8479,8479,6004,8479,2405,82,0.152,32332,0.7081023705625663,0.2836419389078901,0.00967095176317962
01107,18925,18925,7506,18925,10141,987,0.145,45339,0.3966182298546896,0.5358520475561427,0.05215323645970938
01109,32997,32997,12302,32997,18245,799,0.27699999999999997,42616,0.372821771676213,0.5529290541564384,0.024214322514167955
01111,22179,22179,4203,22179,16553,669,0.188,49879,0.18950358447179766,0.7463366247351098,0.030163668334911402
01113,58849,58849,26410,58849,25923,3451,0.16399999999999998,47420,0.4487756801305035,0.4405002633859539,0.05864160818365648
01115,91719,91719,8985,91719,77572,2325,0.193,73218,0.09796225427664933,0.8457571495546179,0.02534916429529323
01117,223916,223916,29118,223916,169919,13195,0.456,90618,0.13003983636720914,0.7588515336108184,0.05892834813054896
01119,12196,12196,8813,12196,3069,85,0.218,31726,0.7226139717940309,0.2516398819285012,0.006969498196129879
01121,81105,81105,25893,81105,50504,1997,0.166,52457,0.3192528204179767,0.6226989704703779,0.024622403057764627
01123,41251,41251,10957,41251,28305,1010,0.182,53282,0.2656178032047708,0.6861651838743303,0.02448425492715328
01125,231558,231558,74222,231558,140053,9261,0.309,61645,0.32053308458356006,0.604829027716598,0.03999429948436245
01127,64978,64978,3890,64978,56899,1868,0.153,52987,0.059866416325525564,0.875665609898735,0.028748191695650835
01129,15434,15434,3608,15434,10084,261,0.142,51184,0.23376959958533108,0.6533627057146559,0.016910716599714916
01131,10441,10441,7328,10441,2860,22,0.11599999999999999,38208,0.7018484819461738,0.2739201225936213,0.002107077866104779
01133,23655,23655,263,23655,21834,768,0.138,49494,0.011118156837877827,0.9230183893468611,0.03246670894102727
02013,3407,3407,183,3407,536,405,0.16899999999999998,79961,0.05371294393894922,0.15732315820369827,0.11887290871734664
02016,5219,5219,201,5219,1222,802,0.154,100662,0.03851312511975474,0.234144472121096,0.15366928530369803
02020,290674,290674,15469,290674,160574,28162,0.37,95731,0.05321769404900335,0.5524195490480744,0.09688517032827153
02050,18538,18538,215,18538,1632,399,0.09699999999999999,64094,0.011597799115330673,0.08803538677311468,0.021523357427985758
02060,854,854,3,854,379,74,0.263,94167,0.00351288056206089,0.44379391100702575,0.08665105386416862
02063,7000,7000,113,7000,4934,414,0.315,83068,0.016142857142857143,0.7048571428571428,0.05914285714285714
02066,2614,2614,1,2614,1370,171,0.281,70606,0.00038255547054322876,0.5241009946442234,0.06541698546289212
02068,2101,2101,48,2101,1581,35,0.251,87292,0.02284626368396002,0.7524988100904332,0.016658733936220846
02070,4854,4854,76,4854,694,162,0.205,69412,0.015657189946435928,0.14297486608982282,0.03337453646477132
02090,96299,96299,3979,96299,65269,8038,0.32899999999999996,81655,0.041319224498696766,0.6777744317178787,0.08346919490337387
02100,2079,2079,0,2079,1514,170,0.337,68276,0.0,0.7282347282347282,0.08177008177008177
02105,2329,2329,9,2329,1158,230,0.275,62344,0.0038643194504079004,0.49720910261914986,0.09875483039931301
02110,32108,32108,345,32108,19855,2300,0.40700000000000003,95711,0.010744985673352435,0.6183817117229351,0.07163323782234957
02122,59235,59235,424,59235,46195,2623,0.28,76272,0.007157930277707437,0.7798598801384317,0.0442812526377986
02130,13910,13910,91,13910,8608,785,0.285,82763,0.0065420560747663555,0.6188353702372394,0.056434219985621856
02150,13065,13065,120,13065,6007,1150,0.285,91138,0.009184845005740528,0.45977803291236125,0.0880214313050134
02158,8372,8372,70,8372,262,76,0.046,42663,0.008361204013377926,0.031294792164357384,0.009077878643096034
02164,999,999,22,999,171,1,0.155,61607,0.022022022022022022,0.17117117117117117,0.001001001001001001
02170,108661,108661,1392,108661,83383,6074,0.237,86435,0.012810483982293555,0.7673682369939536,0.05589862048020909
