STATEFP,COUNTYFP,COUSUBFP,combined,GEOID,key,NAME,NAMELSAD,STUSPS,NAMELSADCO,LSAD,only in AP,not in AP
09,110,01080,09-110-01080,0911001080,7001,Andover,Andover town,CT,Capitol Planning Region,43,,
09,110,02060,09-110-02060,0911002060,7004,Avon,Avon town,CT,Capitol Planning Region,43,,
09,110,04300,09-110-04300,0911004300,7007,Berlin,Berlin town,CT,Capitol Planning Region,43,,
09,110,05910,09-110-05910,0911005910,7011,Bloomfield,Bloomfield town,CT,Capitol Planning Region,43,,
09,110,06260,09-110-06260,0911006260,7012,Bolton,Bolton town,CT,Capitol Planning Region,43,,
09,110,12270,09-110-12270,0911012270,7023,Canton,Canton town,CT,Capitol Planning Region,43,,
09,110,16400,09-110-16400,0911016400,7030,Columbia,Columbia town,CT,Capitol Planning Region,43,,
09,110,17800,09-110-17800,0911017800,7032,Coventry,Coventry town,CT,Capitol Planning Region,43,,
09,110,22070,09-110-22070,0911022070,7040,East Granby,East Granby town,CT,Capitol Planning Region,43,,
09,110,22630,09-110-22630,0911022630,7043,East Hartford,East Hartford town,CT,Capitol Planning Region,43,,
09,110,24800,09-110-24800,0911024800,7047,East Windsor,East Windsor town,CT,Capitol Planning Region,43,,
09,110,25360,09-110-25360,0911025360,7048,Ellington,Ellington town,CT,Capitol Planning Region,43,,
09,110,25990,09-110-25990,0911025990,7049,Enfield,Enfield town,CT,Capitol Planning Region,43,,
09,110,27600,09-110-27600,0911027600,7052,Farmington,Farmington town,CT,Capitol Planning Region,43,,
09,110,31240,09-110-31240,0911031240,7054,Glastonbury,Glastonbury town,CT,Capitol Planning Region,43,,
09,110,32640,09-110-32640,0911032640,7056,Granby,Granby town,CT,Capitol Planning Region,43,,
09,110,37070,09-110-37070,0911037070,7064,Hartford,Hartford town,CT,Capitol Planning Region,43,,
09,110,37910,09-110-37910,0911037910,7067,Hebron,Hebron town,CT,Capitol Planning Region,43,,
