fipscode,last,party,votepct
02000,Trump,GOP,0.545448
02000,Harris,Dem,0.414061
02000,Kennedy,PEC,0.016766
02000,Oliver,Lib,0.008989
02000,Stein,PEC,0.006925
02000,West,Aur,0.003333
02000,Terry,CST,0.002401
02000,Sonski,ASP,0.002076
01001,Trump,GOP,0.726641
01001,Harris,Dem,0.263888
01001,Kennedy,Ind,0.005463
01001,Oliver,Ind,0.002306
01001,Stein,Ind,0.001703
01003,Trump,GOP,0.786467
01003,Harris,Dem,0.204699
01003,Kennedy,Ind,0.005451
01003,Oliver,Ind,0.001979
01003,Stein,Ind,0.001404
01005,Trump,GOP,0.570179
01005,Harris,Dem,0.422905
01005,Kennedy,Ind,0.00417
01005,Oliver,Ind,0.001424
01005,Stein,Ind,0.001322
01007,Trump,GOP,0.819392
01007,Harris,Dem,0.175197
01007,Kennedy,Ind,0.003787
01007,Oliver,Ind,0.00119
01007,Stein,Ind,0.000433
01009,Trump,GOP,0.901796
01009,Harris,Dem,0.091624
01009,Kennedy,Ind,0.004019
01009,Stein,Ind,0.001387
01009,Oliver,Ind,0.001174
01011,Trump,GOP,0.268144
01011,Harris,Dem,0.726498
01011,Kennedy,Ind,0.003653
01011,Oliver,Ind,0.001461
01011,Stein,Ind,0.000244
01013,Trump,GOP,0.610842
01013,Harris,Dem,0.383961
01013,Kennedy,Ind,0.003661
01013,Oliver,Ind,0.000945
01013,Stein,Ind,0.000591
01015,Trump,GOP,0.71939
01015,Harris,Dem,0.271873
01015,Kennedy,Ind,0.005625
01015,Stein,Ind,0.001731
01015,Oliver,Ind,0.001381
01017,Trump,GOP,0.612545
01017,Harris,Dem,0.380072
01017,Kennedy,Ind,0.00443
01017,Oliver,Ind,0.001969
01017,Stein,Ind,0.000984
01019,Trump,GOP,0.874769
01019,Harris,Dem,0.119609
01019,Kennedy,Ind,0.003312
01019,Oliver,Ind,0.001232
01019,Stein,Ind,0.001078
01021,Trump,GOP,0.857664
01021,Harris,Dem,0.13676
01021,Kennedy,Ind,0.003599
01021,Oliver,Ind,0.001166
01021,Stein,Ind,0.000811
01023,Trump,GOP,0.617364
01023,Harris,Dem,0.378423
01023,Kennedy,Ind,0.002558
01023,Oliver,Ind,0.001354
01023,Stein,Ind,0.000301
01025,Trump,GOP,0.58304
01025,Harris,Dem,0.412439
01025,Kennedy,Ind,0.003181
01025,Oliver,Ind,0.000753
01025,Stein,Ind,0.000586
01027,Trump,GOP,0.848601
01027,Harris,Dem,0.146959
01027,Kennedy,Ind,0.002368
01027,Oliver,Ind,0.00148
01027,Stein,Ind,0.000592
01029,Trump,GOP,0.915019
01029,Harris,Dem,0.07922
01029,Kennedy,Ind,0.003666
01029,Oliver,Ind,0.001702
01029,Stein,Ind,0.000393
01031,Trump,GOP,0.785586
01031,Harris,Dem,0.206601
01031,Kennedy,Ind,0.004939
01031,Oliver,Ind,0.001617
01031,Stein,Ind,0.001257
01033,Trump,GOP,0.72783
01033,Harris,Dem,0.263494
01033,Kennedy,Ind,0.005833
01033,Oliver,Ind,0.00144
01033,Stein,Ind,0.001403
01035,Trump,GOP,0.566441
01035,Harris,Dem,0.42694
01035,Kennedy,Ind,0.004468
01035,Oliver,Ind,0.001158
01035,Stein,Ind,0.000993
01037,Trump,GOP,0.713906
01037,Harris,Dem,0.280775
01037,Kennedy,Ind,0.003989
01037,Oliver,Ind,0.00114
01037,Stein,Ind,0.00019
01039,Trump,GOP,0.859712
01039,Harris,Dem,0.135544
01039,Kennedy,Ind,0.002987
01039,Oliver,Ind,0.000996
01039,Stein,Ind,0.000761
01041,Trump,GOP,0.771605
01041,Harris,Dem,0.224846
01041,Kennedy,Ind,0.00216
01041,Stein,Ind,0.000772
01041,Oliver,Ind,0.000617
01043,Trump,GOP,0.899006
01043,Harris,Dem,0.093817
01043,Kennedy,Ind,0.004715
01043,Oliver,Ind,0.001881
01043,Stein,Ind,0.000581
01045,Trump,GOP,0.757787
01045,Harris,Dem,0.234728
01045,Kennedy,Ind,0.00445
01045,Stein,Ind,0.00157
01045,Oliver,Ind,0.001466
01047,Trump,GOP,0.334235
01047,Harris,Dem,0.659196
01047,Kennedy,Ind,0.003542
01047,Oliver,Ind,0.001546
01047,Stein,Ind,0.001481
01049,Trump,GOP,0.866477
01049,Harris,Dem,0.127032
01049,Kennedy,Ind,0.004056
01049,Oliver,Ind,0.001352
01049,Stein,Ind,0.001082
01051,Trump,GOP,0.756164
01051,Harris,Dem,0.235569
01051,Kennedy,Ind,0.005351
01051,Oliver,Ind,0.001808
01051,Stein,Ind,0.001109
01053,Trump,GOP,0.729051
01053,Harris,Dem,0.265523
01053,Kennedy,Ind,0.00355
01053,Oliver,Ind,0.001273
