reportingunitID,reportingunitName,state-county-subunit,last,party,votepct
7001,Andover,09-013-7001,Biden,Dem,0.505978
7001,Andover,09-013-7001,Trump,GOP,0.477284
7001,Andover,09-013-7001,Jorgensen,Lib,0.012912
7001,Andover,09-013-7001,Hawkins,Grn,0.003826
7002,Ansonia,09-009-7002,Biden,Dem,0.537063
7002,Ansonia,09-009-7002,Trump,GOP,0.451057
7002,Ansonia,09-009-7002,Jorgensen,Lib,0.007484
7002,Ansonia,09-009-7002,Hawkins,Grn,0.004395
7003,Ashford,09-015-7003,Biden,Dem,0.52321
7003,Ashford,09-015-7003,Trump,GOP,0.456334
7003,Ashford,09-015-7003,Jorgensen,Lib,0.013769
7003,Ashford,09-015-7003,Hawkins,Grn,0.006688
7004,Avon,09-003-7004,Biden,Dem,0.60896
7004,Avon,09-003-7004,Trump,GOP,0.372852
7004,Avon,09-003-7004,Jorgensen,Lib,0.0141
7004,Avon,09-003-7004,Hawkins,Grn,0.004088
7005,Barkhamsted,09-005-7005,Trump,GOP,0.503279
7005,Barkhamsted,09-005-7005,Biden,Dem,0.472951
7005,Barkhamsted,09-005-7005,Jorgensen,Lib,0.017213
7005,Barkhamsted,09-005-7005,Hawkins,Grn,0.006557
7006,Beacon Falls,09-009-7006,Trump,GOP,0.576124
7006,Beacon Falls,09-009-7006,Biden,Dem,0.405732
7006,Beacon Falls,09-009-7006,Jorgensen,Lib,0.014988
7006,Beacon Falls,09-009-7006,Hawkins,Grn,0.003155
7007,Berlin,09-003-7007,Trump,GOP,0.5195
7007,Berlin,09-003-7007,Biden,Dem,0.46675
7007,Berlin,09-003-7007,Jorgensen,Lib,0.010566
7007,Berlin,09-003-7007,Hawkins,Grn,0.003185
7008,Bethany,09-009-7008,Biden,Dem,0.517036
7008,Bethany,09-009-7008,Trump,GOP,0.464575
7008,Bethany,09-009-7008,Jorgensen,Lib,0.012439
7008,Bethany,09-009-7008,Hawkins,Grn,0.005949
7009,Bethel,09-001-7009,Biden,Dem,0.561375
7009,Bethel,09-001-7009,Trump,GOP,0.423852
7009,Bethel,09-001-7009,Jorgensen,Lib,0.010207
7009,Bethel,09-001-7009,Hawkins,Grn,0.004566
7010,Bethlehem,09-005-7010,Trump,GOP,0.588757
7010,Bethlehem,09-005-7010,Biden,Dem,0.396027
7010,Bethlehem,09-005-7010,Jorgensen,Lib,0.008876
7010,Bethlehem,09-005-7010,Hawkins,Grn,0.00634
7011,Bloomfield,09-003-7011,Biden,Dem,0.858781
7011,Bloomfield,09-003-7011,Trump,GOP,0.13248
7011,Bloomfield,09-003-7011,Jorgensen,Lib,0.006086
7011,Bloomfield,09-003-7011,Hawkins,Grn,0.002653
7012,Bolton,09-013-7012,Biden,Dem,0.525563
7012,Bolton,09-013-7012,Trump,GOP,0.451004
7012,Bolton,09-013-7012,Jorgensen,Lib,0.016433
7012,Bolton,09-013-7012,Hawkins,Grn,0.006999
7013,Bozrah,09-011-7013,Trump,GOP,0.527778
7013,Bozrah,09-011-7013,Biden,Dem,0.454134
7013,Bozrah,09-011-7013,Jorgensen,Lib,0.014858
7013,Bozrah,09-011-7013,Hawkins,Grn,0.00323
7014,Branford,09-009-7014,Biden,Dem,0.589858
