key,population,race_total,black_total,race_hispanic_total,white_alone,hispanic_total,percent_bachelors,median_income,percent_black,percent_white,percent_hispanic
09-110-01080,3160,3160,23,3160,2946,12,0.49,124167,0.007278481012658228,0.9322784810126582,0.0037974683544303796
09-110-02060,18852,18852,442,18852,14096,1015,0.705,146153,0.023445788245279015,0.747719074899215,0.05384044133248462
09-110-04300,20149,20149,160,20149,17532,1093,0.449,106272,0.007940840736512978,0.8701176237034096,0.05424586828130428
09-110-05910,21460,21460,12092,21460,6512,1848,0.382,90061,0.5634669151910531,0.30344827586206896,0.08611369990680336
09-110-06260,4851,4851,63,4851,4316,235,0.483,114948,0.012987012987012988,0.8897134611420325,0.0484436198721913
09-110-12270,10125,10125,166,10125,9289,250,0.5660000000000001,108059,0.016395061728395062,0.9174320987654321,0.024691358024691357
09-110-16400,5280,5280,98,5280,4553,283,0.313,124311,0.018560606060606062,0.862310606060606,0.05359848484848485
09-110-17800,12254,12254,39,12254,11269,575,0.45899999999999996,101916,0.0031826342418802022,0.9196180838909743,0.04692345356618247
09-110-22070,5198,5198,247,5198,4071,251,0.483,107478,0.04751827626010004,0.7831858407079646,0.04828780300115429
09-110-22630,50942,50942,13407,50942,16439,19014,0.18100000000000002,64244,0.26318165757135564,0.32270032586078284,0.37324800753798437
09-110-24800,11180,11180,874,11180,7586,1058,0.408,90480,0.078175313059034,0.6785330948121646,0.09463327370304114
09-110-25360,16558,16558,738,16558,13464,1064,0.501,124495,0.04457060031404759,0.813141683778234,0.06425896847445343
09-110-25990,41346,41346,2622,41346,29724,5294,0.302,90741,0.06341604992018575,0.7189087215208243,0.12804140666569921
09-110-27600,26623,26623,760,26623,18885,1798,0.6509999999999999,118329,0.028546745295421252,0.7093490590842505,0.06753558952785185
09-110-31240,35105,35105,609,35105,27295,2850,0.672,144134,0.017347956131605183,0.7775245691496938,0.08118501637943312
09-110-32640,10972,10972,103,10972,10121,291,0.564,116023,0.009387531899380241,0.9224389354721109,0.026522056142909225
09-110-37070,121057,121057,43747,121057,18023,55823,0.175,41841,0.36137521993771526,0.1488802795377384,0.46112988096516516
09-110-37910,9127,9127,68,9127,8357,372,0.527,136397,0.007450421825353347,0.9156349293305577,0.040758189985756546
09-110-44700,59510,59510,9773,59510,31833,10235,0.389,85048,0.16422450008401948,0.5349185010922534,0.1719879011930768
09-110-44910,28378,28378,1000,28378,20870,1749,0.585,64194,0.03523856508562971,0.7354288533370921,0.06163225033476637
09-110-45820,6134,6134,116,6134,4929,760,0.51,134643,0.018910987936093904,0.8035539615259211,0.12389957613302902
09-110-50440,74212,74212,9880,74212,28118,32910,0.19699999999999998,53766,0.1331321080148763,0.3788875114536733,0.44345927882283187
09-110-52140,30458,30458,1453,30458,21895,3257,0.39799999999999996,100239,0.04770503644362729,0.7188587563201786,0.10693413881410467
09-110-60120,17505,17505,322,17505,13930,2094,0.273,78900,0.01839474435875464,0.7957726363896029,0.11962296486718081
09-110-65370,20705,20705,831,20705,14386,1262,0.479,96773,0.04013523303549867,0.6948080173871045,0.06095146099975851
09-110-68940,24617,24617,702,24617,20139,1802,0.675,143874,0.028516878579843197,0.8180931876345615,0.07320144615509608
09-110-69220,10086,10086,451,10086,8441,586,0.375,105450,0.044715447154471545,0.8369026373190561,0.05810033710093199
09-110-70550,43569,43569,785,43569,37289,2384,0.41600000000000004,118790,0.018017397691018844,0.8558608184718492,0.0547178039431706
09-110-71390,26805,26805,1173,26805,17062,2034,0.56,134080,0.04376049244543928,0.6365230367468756,0.07588136541689983
09-110-72090,11507,11507,23,11507,10380,495,0.27399999999999997,92292,0.001998783349265664,0.9020596158859825,0.04301729382115234
09-110-74540,15676,15676,1186,15676,12577,1051,0.42,121141,0.07565705537126818,0.8023092625669813,0.06704516458280174
09-110-76290,14601,14601,11,14601,12584,971,0.5479999999999999,132846,0.0007533730566399562,0.8618587767961099,0.06650229436339977
09-110-78250,30289,30289,1854,30289,22109,3550,0.35600000000000004,79875,0.06121034038759946,0.7299349598864274,0.1172042655749612
09-110-82590,64088,64088,4896,64088,44049,8597,0.662,124150,0.07639495693421545,0.6873205592310573,0.13414367744351516
09-110-84900,27192,27192,1169,27192,21271,3420,0.526,108656,0.042990585466313624,0.7822521329802883,0.12577228596646073
09-110-85950,5586,5586,45,5586,4670,265,0.36200000000000004,85893,0.008055853920515575,0.8360186179735052,0.04744002864303616
09-110-87000,29445,29445,10913,29445,12989,3103,0.428,103521,0.3706231957887587,0.44112752589573784,0.10538291730344711
09-110-87070,12563,12563,790,12563,9344,862,0.28600000000000003,85570,0.0628830693305739,0.7437713921833957,0.06861418451006925
09-120-00000,0,0,0,0,0,0,-6666666.66,-666666666,,,
09-120-08070,148470,148470,32196,148470,48108,53790,0.247,54440,0.2168518892705597,0.3240250555667812,0.36229541321479086
09-120-23890,7630,7630,79,7630,6853,135,0.7070000000000001,181934,0.01035386631716907,0.8981651376146789,0.017693315858453473
09-120-26620,62072,62072,577,62072,54614,2706,0.705,165316,0.009295656656785669,0.879849207372084,0.0435945353782704
09-120-48620,18851,18851,239,18851,16558,798,0.547,145714,0.01267837250013262,0.8783618906158824,0.04233197177868548
09-120-74190,52436,52436,5344,52436,38432,7097,0.375,91025,0.10191471508124189,0.7329315737279731,0.13534594553360288
09-120-77200,36922,36922,593,36922,29351,1943,0.599,153846,0.016060885109149017,0.794946102594659,0.05262445154650344
09-130-00000,0,0,0,0,0,0,-6666666.66,-666666666,,,
09-130-14300,3740,3740,41,3740,3308,194,0.374,90929,0.010962566844919787,0.8844919786096257,0.051871657754010696
09-130-15350,13284,13284,136,13284,11747,709,0.43,110556,0.010237880156579343,0.8842968985245409,0.053372478169226134
09-130-18080,14250,14250,646,14250,10766,1212,0.446,101424,0.04533333333333334,0.7555087719298246,0.08505263157894737
09-130-19130,4445,4445,70,4445,4023,215,0.439,85859,0.015748031496062992,0.9050618672665917,0.048368953880764905
09-130-20810,7197,7197,6,7197,6415,218,0.48200000000000004,148095,0.0008336807002917883,0.8913436153953036,0.030290398777268305
09-130-22280,8921,8921,20,8921,8342,300,0.433,107096,0.0022419011321600717,0.9350969622239659,0.033628516982401074
09-130-22490,12798,12798,39,12798,11132,944,0.36200000000000004,116163,0.0030473511486169714,0.869823409907798,0.07376152523831848
09-130-26270,6754,6754,125,6754,6064,164,0.5770000000000001,96734,0.018507551080840984,0.8978383180337578,0.02428190701806337
09-130-35230,8492,8492,67,8492,7420,303,0.502,119252,0.007889778615167216,0.8737635421573245,0.035680640602920394
09-130-40710,6216,6216,0,6216,5611,145,0.524,124620,0.0,0.9026705276705277,0.023326898326898327
09-130-44210,2390,2390,79,2390,2153,26,0.569,119352,0.03305439330543933,0.900836820083682,0.010878661087866108
09-130-47080,4240,4240,31,4240,3807,89,0.391,102083,0.007311320754716981,0.897877358490566,0.020990566037735848
09-130-47360,48152,48152,7204,48152,31837,5289,0.405,75120,0.14960956969596279,0.6611771058315334,0.10983967436451238
09-130-57040,7648,7648,1,7648,6591,590,0.546,122116,0.0001307531380753138,0.8617939330543933,0.07714435146443514
09-130-57320,10492,10492,53,10492,9657,582,0.5529999999999999,99825,0.005051467784979032,0.9204155547083492,0.055470834921845215
09-130-61800,9409,9409,92,9409,8346,413,0.489,116098,0.009777872249973429,0.8870230630247635,0.043894143904772025
09-130-81680,6816,6816,87,6816,5196,903,0.47,76779,0.012764084507042254,0.7623239436619719,0.1324823943661972
09-140-01220,18954,18954,2660,18954,9946,5870,0.21100000000000002,67474,0.1403397699693996,0.5247441173367099,0.3096971615490134
