unemployment,key,state,county
0.03,01-001, AL,Autauga County
0.031,01-003, AL,Baldwin County
0.049,01-005, AL,Barbour County
0.033,01-007, AL,Bibb County
0.031,01-009, AL,Blount County
0.04,01-011, AL,Bullock County
0.038,01-013, AL,Butler County
0.039,01-015, AL,Calhoun County
0.033,01-017, AL,Chambers County
0.03,01-019, AL,Cherokee County
0.031,01-021, AL,Chilton County
0.051,01-023, AL,Choctaw County
0.064,01-025, AL,Clarke County
0.03,01-027, AL,Clay County
0.031,01-029, AL,Cleburne County
0.035,01-031, AL,Coffee County
0.039,01-033, AL,Colbert County
0.047,01-035, AL,Conecuh County
0.036000000000000004,01-037, AL,Coosa County
0.036000000000000004,01-039, AL,Covington County
0.036000000000000004,01-041, AL,Crenshaw County
0.028999999999999998,01-043, AL,Cullman County
0.033,01-045, AL,Dale County
0.062,01-047, AL,Dallas County
0.032,01-049, AL,DeKalb County
0.028999999999999998,01-051, AL,Elmore County
0.04,01-053, AL,Escambia County
0.039,01-055, AL,Etowah County
0.039,01-057, AL,Fayette County
0.033,01-059, AL,Franklin County
0.033,01-061, AL,Geneva County
0.06,01-063, AL,Greene County
0.045,01-065, AL,Hale County
0.037000000000000005,01-067, AL,Henry County
0.034,01-069, AL,Houston County
0.035,01-071, AL,Jackson County
0.033,01-073, AL,Jefferson County
0.033,01-075, AL,Lamar County
0.034,01-077, AL,Lauderdale County
0.033,01-079, AL,Lawrence County
0.033,01-081, AL,Lee County
0.028999999999999998,01-083, AL,Limestone County
0.054000000000000006,01-085, AL,Lowndes County
0.046,01-087, AL,Macon County
0.027999999999999997,01-089, AL,Madison County
0.042,01-091, AL,Marengo County
0.038,01-093, AL,Marion County
0.028999999999999998,01-095, AL,Marshall County
0.039,01-097, AL,Mobile County
0.051,01-099, AL,Monroe County
0.034,01-101, AL,Montgomery County
0.027999999999999997,01-103, AL,Morgan County
0.069,01-105, AL,Perry County
0.040999999999999995,01-107, AL,Pickens County
0.036000000000000004,01-109, AL,Pike County
0.035,01-111, AL,Randolph County
0.037000000000000005,01-113, AL,Russell County
0.028999999999999998,01-115, AL,St. Clair County
0.026000000000000002,01-117, AL,Shelby County
0.052000000000000005,01-119, AL,Sumter County
0.034,01-121, AL,Talladega County
0.037000000000000005,01-123, AL,Tallapoosa County
0.033,01-125, AL,Tuscaloosa County
0.036000000000000004,01-127, AL,Walker County
0.03,01-129, AL,Washington County
0.08900000000000001,01-131, AL,Wilcox County
0.038,01-133, AL,Winston County
0.019,02-013, AK,Aleutians East Borough
0.027000000000000003,02-016, AK,Aleutians West Census Area
0.034,02-020, AK,Anchorage Borough/municipality
0.11699999999999999,02-050, AK,Bethel Census Area
0.018000000000000002,02-060, AK,Bristol Bay Borough
0.032,02-063, AK,Chugach Census Area
0.046,02-066, AK,Copper River Census Area
0.023,02-068, AK,Denali Borough
0.07400000000000001,02-070, AK,Dillingham Census Area
0.035,02-090, AK,Fairbanks North Star Borough
0.038,02-100, AK,Haines Borough
0.027999999999999997,02-105, AK,Hoonah-Angoon Census Area
0.027000000000000003,02-110, AK,Juneau Borough/city
0.04,02-122, AK,Kenai Peninsula Borough
0.033,02-130, AK,Ketchikan Gateway Borough
0.036000000000000004,02-150, AK,Kodiak Island Borough
0.192,02-158, AK,Kusilvak Census Area
0.062,02-164, AK,Lake and Peninsula Borough
0.042,02-170, AK,Matanuska-Susitna Borough
0.085,02-180, AK,Nome Census Area
0.05,02-185, AK,North Slope Borough
0.094,02-188, AK,Northwest Arctic Borough
0.04,02-195, AK,Petersburg Borough
0.07,02-198, AK,Prince of Wales-Hyder Census Area
0.026000000000000002,02-220, AK,Sitka Borough/city
0.02,02-230, AK,Skagway Municipality
0.047,02-240, AK,Southeast Fairbanks Census Area
0.042,02-275, AK,Wrangell Borough/city
0.052000000000000005,02-282, AK,Yakutat Borough/city
0.07200000000000001,02-290, AK,Yukon-Koyukuk Census Area
0.079,04-001, AZ,Apache County
0.043,04-003, AZ,Cochise County
0.043,04-005, AZ,Coconino County
0.039,04-007, AZ,Gila County
0.036000000000000004,04-009, AZ,Graham County
0.027999999999999997,04-011, AZ,Greenlee County
0.043,04-012, AZ,La Paz County
0.034,04-013, AZ,Maricopa County
0.044000000000000004,04-015, AZ,Mohave County
0.054000000000000006,04-017, AZ,Navajo County
0.039,04-019, AZ,Pima County
0.042,04-021, AZ,Pinal County
0.081,04-023, AZ,Santa Cruz County
0.033,04-025, AZ,Yavapai County
0.163,04-027, AZ,Yuma County
0.028999999999999998,05-001, AR,Arkansas County
0.055999999999999994,05-003, AR,Ashley County
0.037000000000000005,05-005, AR,Baxter County
0.026000000000000002,05-007, AR,Benton County
0.034,05-009, AR,Boone County
0.045,05-011, AR,Bradley County
0.032,05-013, AR,Calhoun County
0.033,05-015, AR,Carroll County
0.066,05-017, AR,Chicot County
0.05,05-019, AR,Clark County
0.039,05-021, AR,Clay County
0.040999999999999995,05-023, AR,Cleburne County
0.04,05-025, AR,Cleveland County
0.045,05-027, AR,Columbia County
0.037000000000000005,05-029, AR,Conway County
0.03,05-031, AR,Craighead County
0.035,05-033, AR,Crawford County
0.046,05-035, AR,Crittenden County
0.036000000000000004,05-037, AR,Cross County
0.04,05-039, AR,Dallas County
0.06,05-041, AR,Desha County
0.044000000000000004,05-043, AR,Drew County
0.028999999999999998,05-045, AR,Faulkner County
0.035,05-047, AR,Franklin County
0.04,05-049, AR,Fulton County
0.037000000000000005,05-051, AR,Garland County
0.028999999999999998,05-053, AR,Grant County
0.037000000000000005,05-055, AR,Greene County
0.037000000000000005,05-057, AR,Hempstead County
0.037000000000000005,05-059, AR,Hot Spring County
0.036000000000000004,05-061, AR,Howard County
0.037000000000000005,05-063, AR,Independence County
0.051,05-065, AR,Izard County
0.045,05-067, AR,Jackson County
0.05,05-069, AR,Jefferson County
0.055999999999999994,05-071, AR,Johnson County
0.055,05-073, AR,Lafayette County
0.036000000000000004,05-075, AR,Lawrence County
0.05,05-077, AR,Lee County
0.051,05-079, AR,Lincoln County
0.036000000000000004,05-081, AR,Little River County
0.04,05-083, AR,Logan County
0.028999999999999998,05-085, AR,Lonoke County
0.028999999999999998,05-087, AR,Madison County
0.042,05-089, AR,Marion County
0.039,05-091, AR,Miller County
0.049,05-093, AR,Mississippi County
0.051,05-095, AR,Monroe County
0.046,05-097, AR,Montgomery County
0.038,05-099, AR,Nevada County
0.035,05-101, AR,Newton County
0.042,05-103, AR,Ouachita County
0.036000000000000004,05-105, AR,Perry County
0.057,05-107, AR,Phillips County
0.039,05-109, AR,Pike County
0.035,05-111, AR,Poinsett County
0.040999999999999995,05-113, AR,Polk County
0.042,05-115, AR,Pope County
0.028999999999999998,05-117, AR,Prairie County
0.035,05-119, AR,Pulaski County
0.037000000000000005,05-121, AR,Randolph County
0.059000000000000004,05-123, AR,St. Francis County
0.027999999999999997,05-125, AR,Saline County
0.031,05-127, AR,Scott County
0.042,05-129, AR,Searcy County
0.034,05-131, AR,Sebastian County
0.039,05-133, AR,Sevier County
0.044000000000000004,05-135, AR,Sharp County
0.042,05-137, AR,Stone County
0.055999999999999994,05-139, AR,Union County
0.040999999999999995,05-141, AR,Van Buren County
0.025,05-143, AR,Washington County
0.036000000000000004,05-145, AR,White County
0.035,05-147, AR,Woodruff County
