key,state,township,unemployment_rate,unemployment
09-110-01080,CT,Andover,2.10,0.021
09-140-01220,CT,Ansonia,5.10,0.051
09-150-01430,CT,Ashford,3.00,0.03
09-110-02060,CT,Avon,2.30,0.023
09-160-02760,CT,Barkhamsted,2.10,0.021
09-140-03250,CT,Beacon Falls,3.00,0.03
09-110-04300,CT,Berlin,2.60,0.026
09-170-04580,CT,Bethany,2.60,0.026
09-190-04720,CT,Bethel,3.00,0.03
09-140-04930,CT,Bethlehem,2.80,0.028
09-110-05910,CT,Bloomfield,3.70,0.037
09-110-06260,CT,Bolton,2.40,0.024
09-180-06820,CT,Bozrah,2.40,0.024
09-170-07310,CT,Branford,2.80,0.028
09-120-08070,CT,Bridgeport,5.70,0.057
09-190-08210,CT,Bridgewater,3.90,0.039
09-140-08490,CT,Bristol,3.60,0.036
09-190-08980,CT,Brookfield,2.90,0.029
09-150-09190,CT,Brooklyn,2.90,0.029
09-160-10100,CT,Burlington,2.40,0.024
09-160-10940,CT,Canaan,2.40,0.024
09-150-12130,CT,Canterbury,3.00,0.03
09-110-12270,CT,Canton,2.30,0.023
09-150-13810,CT,Chaplin,3.40,0.034
09-140-14160,CT,Cheshire,2.10,0.021
09-130-14300,CT,Chester,2.50,0.025
09-130-15350,CT,Clinton,2.60,0.026
09-180-15910,CT,Colchester,2.20,0.022
09-160-16050,CT,Colebrook,2.80,0.028
09-110-16400,CT,Columbia,2.20,0.022
09-160-17240,CT,Cornwall,2.40,0.024
09-110-17800,CT,Coventry,2.60,0.026
09-130-18080,CT,Cromwell,2.70,0.027
09-190-18500,CT,Danbury,3.00,0.03
09-190-18850,CT,Darien,2.90,0.029
09-130-19130,CT,Deep River,2.00,0.02
09-140-19550,CT,Derby,5.00,0.05
09-130-20810,CT,Durham,2.10,0.021
09-110-22070,CT,East Granby,2.70,0.027
09-130-22280,CT,East Haddam,2.40,0.024
09-130-22490,CT,East Hampton,3.00,0.03
09-110-22630,CT,East Hartford,4.90,0.049
09-170-22910,CT,East Haven,3.90,0.039
09-180-23400,CT,East Lyme,2.60,0.026
09-110-24800,CT,East Windsor,3.20,0.032
09-150-21860,CT,Eastford,2.60,0.026
09-120-23890,CT,Easton,2.60,0.026
09-110-25360,CT,Ellington,2.40,0.024
09-110-25990,CT,Enfield,3.10,0.031
09-130-26270,CT,Essex,2.50,0.025
09-120-26620,CT,Fairfield,3.30,0.033
09-110-27600,CT,Farmington,2.40,0.024
09-180-29910,CT,Franklin,2.80,0.028
09-110-31240,CT,Glastonbury,2.30,0.023
09-160-32290,CT,Goshen,2.50,0.025
09-110-32640,CT,Granby,2.30,0.023
09-190-33620,CT,Greenwich,2.60,0.026
09-180-33900,CT,Griswold,3.50,0.035
09-180-34250,CT,Groton,2.60,0.026
09-170-34950,CT,Guilford,2.10,0.021
09-130-35230,CT,Haddam,2.50,0.025
09-170-35650,CT,Hamden,3.30,0.033
09-150-36000,CT,Hampton,2.50,0.025
09-110-37070,CT,Hartford,6.40,0.064
09-160-37140,CT,Hartland,2.20,0.022
09-160-37280,CT,Harwinton,2.50,0.025
09-110-37910,CT,Hebron,2.40,0.024
09-160-40290,CT,Kent,2.00,0.02
